:addin:             -> adding
experiance          -> experience
expiditions         -> expeditions
expierence          -> experience
expirence           -> experience
explaination        -> explanation
explaning           -> explaining
explictly           -> explicitly
exploititive        -> exploitative
explotation         -> exploitation
expropiated         -> expropriated
expropiation        -> expropriation
exressed            -> expressed
extemely            -> extremely
extention           -> extension
extered             -> exerted
extermist           -> extremist
extradiction        -> extradition
extraterrestial     -> extraterrestrial
extravagent         -> extravagant
extrememly          -> extremely
extremeophile       -> extremophile
extremly            -> extremely
extrordinarily      -> extraordinarily
extrordinary        -> extraordinary
faciliate           -> facilitate
facilites           -> facilities
facillitate         -> facilitate
facinated           -> fascinated
facist              -> fascist
failse              -> false
fales               -> false
familes             -> families
familliar           -> familiar
famoust             -> famous
fanatism            -> fanaticism
farenheit           -> Fahrenheit
fasle               -> false
fatc                -> fact
faught              -> fought
favoutrable         -> favourable
feasable            -> feasible
febuary             -> February
feburary            -> February
fedreally           -> federally
feild               -> field
femminist           -> feminist
feromone            -> pheromone
fertily             -> fertility
fianite             -> finite
fianlly             -> finally
ficticious          -> fictitious
fictious            -> fictitious
fidn                -> find
fiercly             -> fiercely
filiament           -> filament
fimilies            -> families
finacial            -> financial
finaly              -> finally
financialy          -> financially
firend              -> friend
firts               -> first
fisionable          -> fissionable
fitler              -> filter
flamable            -> flammable
flase               -> false
flawess             -> flawless
flourine            -> fluorine
fluorish            -> flourish
follwo              -> follow
folowing            -> following
fomed               -> formed
fonetic             -> phonetic
fontrier            -> fontier
foootball           -> football
forbad:             -> forbade
forbiden            -> forbidden
foreward            -> foreword
forfiet             -> forfeit
forhead             -> forehead
foriegn             -> foreign
formallize          -> formalize
formelly            -> formerly
formidible          -> formidable
formost             -> foremost
forsaw              -> foresaw
forseeable          -> foreseeable
fortelling          -> foretelling
forunner            -> forerunner
foucs               -> focus
foudn               -> found
fougth              -> fought
foundaries          -> foundries
foundary            -> foundry
fourties            -> forties
fourty              -> forty
fouth               -> fourth
foward              -> forward
fraciton            -> fraction
freind              -> friend
frequecy            -> frequency
frequentily         -> frequently
frome               -> from
fromthe             -> from the
froniter            -> frontier
fucntion            -> function
fufill              -> fulfill
fulfiled            -> fulfilled
fullfill            -> fulfill
fundametal          -> fundamental
funguses            -> fungi
funtion             -> function
furuther            -> further
futher              -> further
galatic             -> galactic
gallaxies           -> galaxies
galvinized          -> galvanized
ganerate            -> generate
ganster             -> gangster
garantee            -> guarantee
garnison            -> garrison
gaurantee           -> guarantee
gaurd               -> guard
gaurentee           -> guarantee
geneological        -> genealogical
geneologies         -> genealogies
geneology           -> genealogy
generaly            -> generally
generatting         -> generating
genialia            -> genitalia
geographicial       -> geographical
gerat:              -> great
giit:               -> git
giti:               -> git
glamourous          -> glamorous
glight              -> flight
gnawwed             -> gnawed
godess              -> goddess
goign               -> going
gonig               -> going
gouvener            -> governor
govement            -> government
govenment           -> government
govenrment          -> government
goverance           -> governance
goverment           -> government
governer            -> governor
governmnet          -> government
govorment           -> government
govornment          -> government
gracefull           -> graceful
graet               -> great
grafitti            -> graffiti
gramatically        -> grammatically
grammaticaly        -> grammatically
gratuitious         -> gratuitous
greatful            -> grateful
greif               -> grief
gridles             -> griddles
gropu               -> group
grwo                -> grow
guaratee            -> guarantee
guarentee           -> guarantee
guerrila            -> guerrilla
guidence            -> guidance
gunanine            -> guanine
gurantee            -> guarantee
guttaral            -> guttural
gutteral            -> guttural
habaeus             -> habeas
habeus              -> habeas
haemorrage          -> haemorrhage
halarious           -> hilarious
happend             -> happened
happenned           -> happened
harased             -> harassed
harases             -> harasses
harasment           -> harassment
harassement         -> harassment
harras:             -> harass
harrased            -> harassed
harrases            -> harasses
harrasing           -> harassing
harrasment          -> harassment
harrassed           -> harassed
harrasses           -> harassed
harrassing          -> harassing
harrassment         -> harassment
hatian              -> Haitian
haviest             -> heaviest
headquarer          -> headquarter
headquater          -> headquarter
healthercare        -> healthcare
heared              -> heard
heathy              -> healthy
heigher             -> higher
heigth              -> height
heirarch            -> hierarch
heiroglyphics       -> hieroglyphics
helment             -> helmet
helpfull            -> helpful
helpped             -> helped
hemmorhage          -> hemorrhage
herad               -> heard
heridity            -> heredity
heroe:              -> hero
heros               -> heroes
hertiage            -> heritage
hertzs              -> hertz
hesistant           -> hesitant
heterogenous        -> heterogeneous
hieght              -> height
hierachical         -> hierarchical
hierachies          -> hierarchies
hierachy            -> hierarchy
hierarcical         -> hierarchical
hierarcy            -> hierarchy
hieroglph           -> hieroglyph
higeine             -> hygiene
higer               -> higher
higest              -> highest
higway              -> highway
hillarious          -> hilarious
himselv             -> himself
hinderance          -> hindrance
hinderence          -> hindrance
hindrence           -> hindrance
hipopotamus         -> hippopotamus
hismelf             -> himself
historicians        -> historians
hitsingles          -> hit singles
hiygeine            -> hygiene
holf                -> hold
holliday            -> holiday
homestate           -> home state
homogeneize         -> homogenize
honory              -> honorary
horrifing           -> horrifying
hosited             -> hoisted
hospitible          -> hospitable
hounour             -> honour
howver              -> however
hsitorians          -> historians
hstory              -> history
htere:              -> there
htey:               -> they
htikn               -> think
htink               -> think
htis:               -> this
humerous            -> humorous
huminoid            -> humanoid
humoural            -> humoral
humurous            -> humorous
hvae:               -> have
hvaing              -> having
hvea:               -> have
hwihc               -> which
hwile               -> while
hwole               -> whole
hydogen             -> hydrogen
hydropile           -> hydrophile
hydropilic          -> hydrophilic
hydropobe           -> hydrophobe
hydropobic          -> hydrophobic
hygeine             -> hygiene
hygene              -> hygiene
hygine              -> hygiene
hyjack              -> hijack
hypocracy           -> hypocrisy
hypocrasy           -> hypocrisy
hypocricy           -> hypocrisy
hypocrit:           -> hypocrite
iamge               -> image
iconclastic         -> iconoclastic
idaeidae            -> idea
idaes               -> ideas
idealogies          -> ideologies
idealogy            -> ideology
identicial          -> identical
identifers          -> identifiers
ideosyncratic       -> idiosyncratic
idiosyncracy        -> idiosyncrasy
ignorence           -> ignorance
illess              -> illness
illution            -> illusion
ilness              -> illness
ilogical            -> illogical
imagenary           -> imaginary
imcomplete          -> incomplete
imediately          -> immediately
imense              -> immense
immediatley         -> immediately
immediatly          -> immediately
immidately          -> immediately
immidiately         -> immediately
immitate            -> imitate
immitating          -> imitating
immitator           -> imitator
impecabbly          -> impeccably
impedence           -> impedance
implamenting        -> implementing
impliment           -> implement
imploys             -> employs
importamt           -> important
impressario         -> impresario
imprioned           -> imprisoned
imprisonned         -> imprisoned
improvision         -> improvisation
improvment          -> improvement
inablility          -> inability
inadiquate          -> inadequate
inadquate           -> inadequate
inadvertant         -> inadvertent
inagurated          -> inaugurated
inaguration         -> inauguration
inaugures           -> inaugurates
inbalance           -> imbalance
incarcirated        -> incarcerated
incidentially       -> incidentally
incidently          -> incidentally
inclreased          -> increased
includ:             -> include
includng            -> including
inclued             -> include
incomptable         -> incompatible
incomptetent        -> incompetent
incoroporated       -> incorporated
incorperation       -> incorporation
incorportaed        -> incorporated
incorprates         -> incorporates
incorruptable       -> incorruptible
incramentally       -> incrementally
increadible         -> incredible
incredable          -> incredible
inctroduce          -> introduce
incuding            -> including
incunabla           -> incunabula
indeces             -> indices
indecies            -> indices
indefineable        -> undefinable
indentical          -> identical
indepedantly        -> independently
indepedence         -> independence
independant         -> independent
independece         -> independence
independendet       -> independent
indespensable       -> indispensable
indespensible       -> indispensable
indicies            -> indices
indictement         -> indictment
indigineous         -> indigenous
indipendence        -> independence
indipendent         -> independent
indispensible       -> indispensable
indisputible        -> indisputable
indisputibly        -> indisputably
indite              -> indict
individualy         -> individually
indpendent          -> independent
indulgue            -> indulge
indutrial           -> industrial
inefficienty        -> inefficiently
inevatible          -> inevitable
inevitible          -> inevitable
inevititably        -> inevitably
infalability        -> infallibility
infallable          -> infallible
infectuous          -> infectious
infered             -> inferred
infilitrate         -> infiltrate
infilitration       -> infiltration
inflamation         -> inflammation
influencial         -> influential
influented          -> influenced
infomation          -> information
informtion          -> information
infrantryman        -> infantryman
infrigement         -> infringement
ingenius            -> ingenious
ingreediants        -> ingredients
inhabitans          -> inhabitants
inherantly          -> inherently
inheritence         -> inheritance
inital              -> initial
initation           -> initiation
initiaitive         -> initiative
inlcuding           -> including
inmigrant           -> immigrant
innoculated         -> inoculated
inocence            -> innocence
inofficial          -> unofficial
inpeach             -> impeach
inpending           -> impending
inpenetrable        -> impenetrable
inpolite            -> impolite
inprisonment        -> imprisonment
inproving           -> improving
insectiverous       -> insectivorous
insensative         -> insensitive
inseperable         -> inseparable
insistance          -> insistence
insitution          -> institution
instade             -> instead
instatance          -> instance
insted              -> instead
institue            -> institute
instuction          -> instruction
instuments          -> instruments
instutionalized     -> institutionalized
insurence           -> insurance
intelectual         -> intellectual
inteligence         -> intelligence
inteligent          -> intelligent
intelligance        -> intelligence
intenational        -> international
intepretation       -> interpretation
intepretator        -> interpretor
interational        -> international
interator           -> iterator
interchangably      -> interchangeably
intercontinetal     -> intercontinental
interelated         -> interrelated
interferance        -> interference
interfereing        -> interfering
intergrated         -> integrated
intergration        -> integration
interm:             -> interim
interpet            -> interpret
interrim            -> interim
interrugum          -> interregnum
intertaining        -> entertaining
interupt            -> interrupt
intervines          -> intervenes
intevene            -> intervene
intial              -> initial
intput              -> input
intrduced           -> introduced
intrest             -> interest
introdued           -> introduced
intruduced          -> introduced
intrument           -> instrument
intrusted           -> entrusted
intutive            -> intuitive
inudstry            -> industry
inventer            -> inventor
invertibrates       -> invertebrates
investingate        -> investigate
invliad             -> invalid
involvment          -> involvement
ioin                -> ion
iresistably         -> irresistibly
iresistible         -> irresistible
iresistibly         -> irresistibly
iritable            -> irritable
iritated            -> irritated
ironicly            -> ironically
irregardless        -> regardless
irreplacable        -> irreplaceable
irresistably        -> irresistibly
issueing            -> issuing
itnroduced          -> introduced
iunior              -> junior
jeapardy            -> jeopardy
jewllery            -> jewellery
jorunal             -> journal
jouney              -> journey
journied            -> journeyed
journies            -> journeys
jstu                -> just
jsut                -> just
judical             -> judicial
judisuary           -> judiciary
juducial            -> judicial
juristiction        -> jurisdiction
kindergarden        -> kindergarten
klenex              -> kleenex
knifes              -> knives
knive:              -> knife
knowlege            -> knowledge
knwo:               -> know
knwon:              -> known
konw:               -> know
konwn:              -> known
kwno:               -> know
kwnon:              -> known
labratory           -> laboratory
laguage             -> language
laparascopic        -> laparoscopic
largst              -> largest
larrry              -> larry
lattitude           -> latitude
launhed             -> launched
lavae               -> larvae
lazyness            -> laziness
learnign            -> learning
leathal             -> lethal
lefted              -> left
legitamate          -> legitimate
legitmate           -> legitimate
leibnitz            -> leibniz
lenght              -> length
leutenant           -> lieutenant
levetate            -> levitate
levetating          -> levitating
levle               -> level
liasion             -> liaison
liason              -> liaison
libary              -> library
libell              -> libel
libguistic          -> linguistic
libitarianisn       -> libertarianism
lieing              -> lying
liek                -> like
liesure             -> leisure
lieuenant           -> lieutenant
lieved              -> lived
liftime             -> lifetime
lightyear           -> light year
likelyhood          -> likelihood
likly               -> likely
linnaena            -> linnaean
lippizaner          -> lipizzaner
liquify             -> liquefy
liscense            -> license
lisence             -> license
lisense             -> license
listner             -> listener
litature            -> literature
literaly            -> literally
literture           -> literature
littel              -> little
litterally          -> literally
liuke               -> like
livley              -> lively
lmits               -> limits
lonelyness          -> loneliness
longitudonal        -> longitudinal
lonley              -> lonely
loonig              -> looking
looses:             -> loses
loosing             -> losing
looup               -> lookup
lotharingen         -> lothringen
lukid               -> likud
mackeral            -> mackerel
macthing            -> matching
magasine            -> magazine
magincian           -> magician
magisine            -> magazine
magizine            -> magazine
magnificient        -> magnificent
magolia             -> magnolia
mailny              -> mainly
maintainance        -> maintenance
maintainence        -> maintenance
maintance           -> maintenance
maintence           -> maintenance
maintenence         -> maintenance
maintinaing         -> maintaining
maintioned          -> mentioned
maintnance          -> maintenance
majoroty            -> majority
makse               -> makes
maltesian           -> Maltese
mamalian            -> mammalian
managable           -> manageable
managment           -> management
manefist            -> manifest
maneouvre           -> manoeuvre
maneouvring         -> manoeuvring
manisfestations     -> manifestations
manoeuverability    -> maneuverability
mantained           -> maintained
manufature          -> manufacture
manufaturing        -> manufacturing
manuver             -> maneuver
mariage             -> marriage
marjority           -> majority
markes              -> marks
marketting          -> marketing
marmelade           -> marmalade
marrage             -> marriage
marraige            -> marriage
marrtyred           -> martyred
marryied            -> married
massmedia           -> mass media
masterbation        -> masturbation
mataphysical        -> metaphysical
materalists         -> materialist
mathamatics         -> mathematics
mathematican        -> mathematician
mathematicas        -> mathematics
matheticians        -> mathematicians
mathmatically       -> mathematically
mathmatician        -> mathematician
mccarthyst          -> mccarthyist
mchanics            -> mechanics
meaing              -> meaning
meaninng            -> meaning
mechandise          -> merchandise
medacine            -> medicine
medeival            -> medieval
medevial            -> medieval
mediciney           -> mediciny
medievel            -> medieval
meerkrat            -> meerkat
melieux             -> milieux
membranaphone       -> membranophone
memeber             -> member
menally             -> mentally
mercentile          -> mercantile
mesage              -> message
messanger           -> messenger
messenging          -> messaging
metalic             -> metallic
metalurgic          -> metallurgic
metalurgy           -> metallurgy
metamorphysis       -> metamorphosis
metaphoricial       -> metaphorical
meterologist        -> meteorologist
meterology          -> meteorology
methaphor           -> metaphor
michagan            -> Michigan
micoscopy           -> microscopy
midwifes            -> midwives
mileau              -> milieu
milennia            -> millennia
milennium           -> millennium
mileu               -> milieu
miliary             -> military
miligram            -> milligram
miliraty            -> military
millenia            -> millennia
millenium           -> millennium
millepede           -> millipede
millioniare         -> millionaire
millitant           -> militant
millitary           -> military
millon              -> million
miltary             -> military
minature            -> miniature
minerial            -> mineral
ministery           -> ministry
minsitry            -> ministry
minstries           -> ministries
minstry             -> ministry
minumum             -> minimum
mirrorred           -> mirrored
miscelaneous        -> miscellaneous
miscellanious       -> miscellaneous
miscellanous        -> miscellaneous
mischeivous         -> mischievous
mischevious         -> mischievous
mischievious        -> mischievous
misdameanor         -> misdemeanor
